repository_name,site,views,unique_visitors/cloners
authentication,Bing,24,1
authentication,Google,41,3
authentication,blog.test.aws.jpmchase.net,12,1
authentication,com.google.android.gm,11,1
authentication,developer.payments.jpmorgan.com,11,2
authentication,excel.officeapps.live.com,6,1
authentication,gateway.zscalertwo.net,12,1
authentication,github.com,232,13
authentication,jira.expedia.biz,29,2
authentication,jpmchase.secure.virtru.com,2,1
authentication,mail.google.com,16,1
authentication,online-payments-dev.com,3,1
authentication,statics.teams.cdn.office.net,33,1
authentication,teams.microsoft.com,2,1
authentication,theforage.com,6,1
