repository_name,site,views,unique_visitors/cloners
authentication,developer.payments.jpmorgan.com,166,25
authentication,jpmorganchase.github.io,2,1
authentication,kustomus.samanage.com,18,1
authentication,online-payments-dev.com,1,1
authentication,gateway.zscalertwo.net,12,1
authentication,blog.gaiacloud.jpmchase.net,3,1
authentication,perplexity.ai,2,1
authentication,mvsi.atlassian.net,1,1
authentication,Google,35,7
authentication,visawiki.trusted.visa.com,8,1
authentication,jira.sephora.com,1,1
authentication,teams.microsoft.com,2,1
authentication,qiye.aliyun.com,3,1
authentication,jira.expedia.biz,1,1
authentication,blog.test.aws.jpmchase.net,30,2
authentication,confluence.prod.aws.jpmchase.net,4,1
authentication,chatgpt.com,3,1
authentication,global-payments-dev.com,1,1
authentication,confluence.sephora.com,9,1
authentication,dev.azure.com,7,2
authentication,edgeservices.bing.com,1,1
authentication,mail.google.com,7,1
authentication,com.google.android.gm,11,1
authentication,developer-test.payments.jpmorgan.com,4,1
authentication,developer-console.prod.aws.jpmchase.net,2,2
authentication,excel.officeapps.live.com,6,1
authentication,developer-console.uat.aws.jpmchase.net,2,2
authentication,gemini.google.com,1,1
authentication,theforage.com,2,1
authentication,payments-preview.prod.aws.jpmchase.net,3,2
authentication,support.elysium.ltd.uk,4,1
authentication,github.com,10,5
authentication,cp2.symphony.com,2,1
authentication,Bing,3,1
authentication,jpmchase.secure.virtru.com,11,2
authentication,t.co,2,2
authentication,enterprise-confluence.onefiserv.net,7,2
authentication,sp006.jpmchase.net,1,1
authentication,jiradc-cib-cluster02.prod.aws.jpmchase.net,8,1
authentication,blog.prod.aws.jpmchase.net,1,1
authentication,ixolit.atlassian.net,4,1
authentication,office-cn-hangzhou.imm.aliyuncs.com,1,1
authentication,mibc-fr-09.mailinblack.com,1,1
authentication,statics.teams.cdn.office.net,33,7
authentication,embedded-banking-dev.com,1,1
authentication,ariessolutions.atlassian.net,2,1
